giria;significado
"ghost / ghosting / ghostar";"Sumir sem explicação, ignorar alguém ou parar de responder, geralmente no contexto amoroso."
"glow up";"Transformação positiva na aparência, estilo ou vida."
"gourmet";"Algo refinado, sofisticado ou apresentado como mais elaborado."
"grwm";"Sigla de Get Ready With Me, formato de vídeo em que a pessoa se arruma."
"hands on";"Aprendizado prático, colocar a mão na massa, especialmente em ambiente corporativo."
"hashtag";"Palavra ou frase precedida de # usada para categorizar conteúdos nas redes sociais."
"highkey";"Claramente, intensamente ou de forma evidente."
"hype";"Grande expectativa, empolgação ou assunto muito comentado."
"iconic";"Algo marcante, memorável ou incrível."
"ijbol";"Sigla de I Just Burst Out Laughing, usada para dizer que explodiu de rir."
"incel";"Homem frustrado romanticamente, frequentemente associado a grupos misóginos online."
"influencer";"Pessoa com grande poder de influência nas redes sociais."
"its giving...";"Expressão usada quando algo transmite determinada energia ou impressão."
"JOMO";"Felicidade em ficar offline ou não participar de trends e eventos."
"karma";"Crença ou ideia de que as pessoas receberão as consequências de suas ações."
"let him cook";"Deixar a pessoa continuar porque talvez ela faça algo genial."
"like";"Curtida em uma publicação como forma de aprovação ou elogio."
"link";"Endereço virtual que direciona para uma página; também pode significar conectar-se com alguém."
"live";"Transmissão ao vivo feita nas redes sociais em tempo real."
"login";"Processo de entrar em uma conta ou sistema."
"logout";"Processo de sair de uma conta ou sistema."
"LOL";"Sigla de Laughing Out Loud, usada para indicar que algo é muito engraçado ou que a pessoa está rindo alto."
"low profile";"Pessoa discreta, que evita chamar atenção e preserva a vida privada, especialmente nas redes sociais."
"lowkey";"Discretamente, levemente ou sem chamar muita atenção."
"main character";"Pessoa que age ou vive como se fosse protagonista."
"maratona";"Assistir vários episódios, filmes ou conteúdos seguidos sem parar."
"meme";"Imagem, vídeo ou frase humorística que se espalha rapidamente pela internet."
"mid";"Algo medíocre, comum ou sem destaque."
"mindset";"Forma de pensar, mentalidade ou postura diante de situações."
"moggar";"Superar alguém em aparência, habilidade ou presença."
"mood";"Humor, estado emocional ou sensação identificável."
"networking";"Construção de uma rede de contatos profissionais ou pessoais."
"no cap";"Sem mentira, de verdade."
"normie";"Pessoa comum ou genérica que segue tendências."
"not me...";"Expressão irônica usada para comentar algo sobre si mesmo."
"npc";"Pessoa sem personalidade, automática, previsível ou programada."
"offline";"Desconectado da internet ou fora de alcance."
"old";"Algo velho, repetido ou já conhecido."
"OMG";"Sigla de Oh My God, usada como expressão de surpresa, espanto ou emoção."
"one on one";"Conversa ou atividade entre duas pessoas, geralmente em contexto empresarial para falar com liderança ou alinhamento individual."
"online";"Conectado à internet ou disponível digitalmente."
"outfit";"Conjunto de roupas usado em determinada ocasião."
"password";"Senha usada para proteger acessos e informações pessoais."
"pick me girl / pick me";"Pessoa que tenta parecer diferente ou agradar exageradamente para receber aprovação."
"playlist";"Lista de músicas ou vídeos organizados para reprodução seguida."
"plot twist";"Reviravolta inesperada em uma história ou situação."
"podcast";"Programa de áudio ou vídeo disponível para ouvir ou assistir quando quiser."
"poggers";"Expressão de empolgação extrema, especialmente no contexto gamer."
"poser";"Pessoa que finge pertencer a um grupo, estilo ou cultura."
"POV";"Ponto de vista ou perspectiva."
"print";"Captura de tela usada para registrar ou compartilhar algo visto no celular ou computador."
"random";"Aleatório, sem lógica aparente ou inesperado."
"ratio / l+ratio";"Quando uma resposta recebe mais curtidas ou apoio que o post original."
"red flag";"Sinal de alerta sobre algo tóxico, problemático ou perigoso."
"red pill";"Ideia de despertar para uma suposta verdade, hoje muito associada a comunidades masculinas online."
"repost";"Compartilhar a publicação de outra pessoa nas redes sociais."
"rizz";"Habilidade de flertar naturalmente ou ter carisma romântico."
"selfie";"Foto tirada de si mesmo, geralmente com a câmera frontal."
"ship / shippar";"Torcer para duas pessoas ficarem juntas."
"shook";"Chocado ou muito surpreso."
"silent rizz";"Capacidade de conquistar alguém sem falar muito."
"simp";"Pessoa obcecada ou submissa romanticamente por alguém."
"situationship";"Relação indefinida, sem compromisso claro."
"skills";"Habilidades ou competências."
"slaps";"Algo muito bom, principalmente música."
"slay";"Arrasar, mandar muito bem ou se destacar muito."
"soft block";"Ignorar ou esfriar contato com alguém sem bloquear diretamente."
"soft launch";"Revelar relacionamento discretamente, sem assumir oficialmente."
"spam";"Mensagem indesejada enviada em massa, geralmente com fins publicitários."
"spoiler";"Revelação antecipada de partes importantes de uma obra."
"stan";"Fã obsessivo ou muito dedicado."
"stalk / stalkear / stalker";"Espionar, monitorar ou perseguir alguém de forma insistente, geralmente nas redes sociais."
"status";"Situação atual de algo ou alguém; também pode indicar prestígio social."
"step by step";"Passo a passo."
"story";"Publicação temporária nas redes sociais que desaparece após 24 horas."
"streaming";"Transmissão de conteúdo pela internet em tempo real ou sob demanda."
"sus";"Suspeito ou estranho."
"tankar";"Aguentar, suportar ou lidar com algo difícil."
"tea";"Fofoca ou informação quente."
"touch grass";"Expressão usada para mandar alguém sair da internet e viver a vida real."
"tradwife";"Mulher que glorifica a vida doméstica tradicional."
"trauma dump";"Despejar traumas emocionais de forma repentina ou inadequada."
"trend";"Tendência popular do momento."
"troll";"Pessoa que provoca propositalmente, especialmente na internet."
"twink";"Gíria LGBTQIA+ para homem jovem, magro e com aparência juvenil."
"unfollow";"Deixar de seguir alguém nas redes sociais."
"upgrade";"Melhoria ou atualização."
"upload";"Enviar arquivos ou conteúdos do dispositivo para a internet."
"valid";"Algo que faz sentido, é aceitável ou compreensível."
"vibe / vibes";"Energia, atmosfera, clima ou sensação transmitida por algo ou alguém."
"viral";"Conteúdo que se espalha rapidamente pela internet."
"vlog";"Diário em formato de vídeo publicado nas redes sociais."
"wig";"Algo tão impactante que metaforicamente arranca a peruca."
"workshop";"Evento prático e interativo voltado para aprendizado de uma habilidade."
"x1";"Duelo individual entre duas pessoas, especialmente em jogos."
"yeet";"Jogar algo longe ou sair correndo de forma caótica."
